                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                     85,                 1.1819,                 1.1011,                0.75904,                 0.9759,              0.0001486
                     86,                 1.1794,                 1.0979,                0.76305,                 0.9759,              0.0001387
                     87,                  1.167,                 1.0983,                0.75703,                 0.9759,              0.0001288
                     88,                 1.1681,                 1.0956,                0.75703,                 0.9759,              0.0001189
                     89,                 1.1645,                 1.0963,                0.75703,                 0.9759,               0.000109
                     90,                 1.1601,                 1.0932,                0.75904,                 0.9759,               9.91e-05
                     91,                 1.1466,                 1.0933,                0.75703,                 0.9759,               8.92e-05
                     92,                 1.1408,                 1.0971,                0.75703,                 0.9759,               7.93e-05
                     93,                 1.1432,                 1.0942,                0.76104,                 0.9759,               6.94e-05
                     94,                 1.1341,                 1.0889,                0.76506,                 0.9759,               5.95e-05
                     95,                 1.1307,                 1.0924,                0.76707,                 0.9759,               4.96e-05
                     96,                  1.132,                 1.0924,                0.76908,                 0.9759,               3.97e-05
                     97,                  1.122,                 1.0929,                0.76707,                 0.9739,               2.98e-05
                     98,                 1.1162,                   1.09,                0.76908,                 0.9739,               1.99e-05
                     99,                 1.1063,                 1.0889,                0.76707,                0.97791,                  1e-05
